location,GHSI
Afghanistan,32.3
Albania,52.9
Algeria,23.6
Andorra,30.5
Angola,25.2
Anguilla,0
Antigua and Barbuda,29
Argentina,58.6
Armenia,50.2
Aruba,0
Australia,75.5
Austria,58.5
Azerbaijan,34.2
Bahamas,30.6
Bahrain,39.4
Bangladesh,35
Barbados,31.9
Belarus,35.3
Belgium,61
Belize,31.8
Benin,28.8
Bermuda,0
Bhutan,40.3
Bolivia,35.8
Bonaire Sint Eustatius and Saba,0
Bosnia and Herzegovina,42.8
Botswana,31.1
Brazil,59.7
British Virgin Islands,0
Brunei,32.6
Bulgaria,45.6
Burkina Faso,30.1
Burundi,22.8
Cambodia,39.2
Cameroon,34.4
Canada,75.3
Cape Verde,29.3
Cayman Islands,0
Central African Republic,27.3
Chad,28.8
Chile,58.3
China,48.2
Colombia,44.2
Comoros,27.2
Congo,23.6
Costa Rica,45.1
Cote d'Ivoire,35.5
Croatia,53.3
Cuba,35.2
Curacao,0
Cyprus,43
Czech Republic,52
Democratic Republic of Congo,26.5
Denmark,70.4
Djibouti,23.2
Dominica,24
Dominican Republic,38.3
Ecuador,50.1
Egypt,39.9
El Salvador,44.2
Equatorial Guinea,16.2
Eritrea,22.4
Estonia,57
Ethiopia,40.6
Faeroe Islands,0
Falkland Islands,0
Fiji,25.7
Finland,68.7
France,68.2
French Polynesia,0
Gabon,20
Gambia,34.2
Georgia,52
Germany,66
Ghana,35.5
Gibraltar,0
Greece,53.8
Greenland,0
Grenada,27.5
Guam,0
Guatemala,32.7
Guernsey,0
Guinea,32.7
Guinea-Bissau,20
Guyana,31.7
Haiti,31.5
Honduras,27.6
Hungary,54
Iceland,46.3
India,46.5
Indonesia,56.6
Iran,37.7
Iraq,25.8
Ireland,59
Isle of Man,0
Israel,47.3
Italy,56.2
Jamaica,29
Japan,59.8
Jersey,0
Jordan,42.1
Kazakhstan,40.7
Kenya,47.1
Kosovo,19.2
Kuwait,46.1
Kyrgyzstan,49.3
Laos,43.1
Latvia,62.9
Lebanon,43.1
Lesotho,30.2
Liberia,35.1
Libya,25.7
Liechtenstein,43.5
Lithuania,55
Luxembourg,43.8
Macedonia,0
Madagascar,40.1
Malawi,28
Malaysia,62.2
Maldives,33.8
Mali,29
Malta,37.3
Mauritania,27.5
Mauritius,34.9
Mexico,57.6
Moldova,42.9
Monaco,32.7
Mongolia,49.5
Montenegro,43.7
Montserrat,0
Morocco,43.7
Mozambique,28.1
Myanmar,43.4
Namibia,35.6
Nepal,20.8
Netherlands,35.1
New Caledonia,75.6
New Zealand,54
Nicaragua,43.1
Niger,32.2
Nigeria,37.8
Northern Mariana Islands,0
Norway,64.6
Oman,43.1
Pakistan,35.5
Palestine,21.9
Panama,43.7
Papua New Guinea,27.8
Paraguay,35.7
Peru,49.2
Philippines,47.6
Poland,55.4
Portugal,60.3
Puerto Rico,0
Qatar,41.2
Romania,45.8
Russia,44.3
Rwanda,34.2
Saint Kitts and Nevis,26.2
Saint Lucia,35.3
Saint Vincent and the Grenadines,33
San Marino,31.1
Sao Tome and Principe,17.7
Saudi Arabia,49.3
Senegal,37.9
Serbia,52.3
Seychelles,31.9
Sierra Leone,38.2
Singapore,58.7
Sint Maarten (Dutch part),0
Slovakia,47.9
Slovenia,67.2
Somalia,16.6
South Africa,54.8
South Korea,70.2
South Sudan,21.7
Spain,65.9
Sri Lanka,33.9
Sudan,26.2
Suriname,36.5
Swaziland,31.1
Sweden,72.1
Switzerland,67
Syria,19.9
Taiwan,0
Tajikistan,32.3
Tanzania,36.4
Thailand,73.2
Timor,26
Togo,32.5
Trinidad and Tobago,36.6
Tunisia,33.7
Turkey,52.4
Turks and Caicos Islands,20.4
Uganda,44.3
Ukraine,38
United Arab Emirates,46.7
United Kingdom,77.9
United States,83.5
United States Virgin Islands,0
Uruguay,41.3
Uzbekistan,34.3
Vatican,0
Venezuela,23
Vietnam,49.1
Western Sahara,0
Yemen,18.5
Zambia,28.7
Zimbabwe,38.2
